algorithm_name,env_n,size,best_solution,H,states,time
random,6,10,"[1, 8, 2, 7, 3, 0, 9, 1, 6, 2]",2,10000,0.14873933792114258
random,7,10,"[2, 6, 1, 9, 4, 7, 0, 8, 3, 5]",2,10000,0.15219855308532715
random,8,10,"[2, 6, 8, 3, 7, 9, 1, 8, 5, 3]",3,10000,0.15214300155639648
random,9,10,"[8, 8, 2, 9, 6, 3, 7, 0, 7, 5]",3,10000,0.15241742134094238
random,10,10,"[4, 0, 8, 0, 7, 1, 9, 2, 6, 3]",2,10000,0.1559445858001709
random,11,10,"[9, 4, 0, 5, 3, 7, 7, 3, 8, 2]",3,10000,0.1671898365020752
random,12,10,"[9, 9, 2, 0, 8, 6, 4, 1, 7, 5]",2,10000,0.1600351333618164
random,13,10,"[6, 9, 5, 2, 7, 3, 8, 8, 1, 4]",2,10000,0.16183805465698242
random,14,10,"[4, 8, 0, 3, 0, 7, 5, 1, 9, 6]",2,10000,0.17122769355773926
random,15,10,"[6, 2, 2, 7, 1, 8, 4, 9, 3, 0]",2,10000,0.15302562713623047
random,16,10,"[4, 9, 1, 5, 2, 0, 6, 8, 1, 3]",2,10000,0.15196633338928223
random,17,10,"[5, 9, 1, 4, 8, 8, 3, 9, 6, 0]",3,10000,0.1520533561706543
random,18,10,"[3, 0, 6, 9, 2, 8, 1, 4, 2, 5]",2,10000,0.14767074584960938
random,19,10,"[1, 4, 0, 7, 9, 2, 6, 1, 3, 0]",2,10000,0.14856672286987305
random,20,10,"[8, 5, 7, 1, 0, 2, 6, 9, 2, 4]",2,10000,0.14875459671020508
random,21,10,"[8, 6, 1, 3, 5, 9, 4, 0, 5, 2]",3,10000,0.15052342414855957
random,22,10,"[2, 4, 6, 0, 9, 1, 7, 5, 8, 8]",2,10000,0.15140461921691895
random,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,10000,0.15301036834716797
random,24,10,"[6, 9, 5, 0, 4, 1, 8, 2, 7, 3]",1,10000,0.15412259101867676
random,25,10,"[5, 1, 1, 4, 0, 8, 0, 9, 6, 2]",2,10000,0.1548924446105957
random,26,10,"[5, 6, 4, 7, 0, 3, 5, 2, 9, 3]",3,10000,0.15505242347717285
random,27,10,"[3, 6, 0, 9, 1, 5, 8, 8, 2, 4]",2,10000,0.21906042098999023
random,28,10,"[5, 7, 1, 8, 0, 8, 4, 2, 9, 3]",2,10000,0.1950228214263916
random,29,10,"[2, 6, 1, 9, 5, 8, 0, 7, 3, 5]",2,10000,0.2053666114807129
HC,0,10,"[6, 9, 0, 4, 8, 0, 2, 4, 7, 5]",3,361,0.0034265518188476562
HC,1,10,"[4, 9, 1, 8, 5, 0, 2, 7, 6, 3]",1,541,0.005076408386230469
HC,2,10,"[0, 6, 1, 5, 2, 7, 4, 8, 3, 9]",3,361,0.003467082977294922
HC,3,10,"[3, 6, 8, 2, 0, 9, 7, 4, 1, 9]",1,361,0.0033228397369384766
HC,4,10,"[4, 1, 1, 9, 7, 2, 8, 3, 0, 6]",2,541,0.004818916320800781
HC,5,10,"[9, 4, 6, 8, 0, 7, 3, 0, 2, 1]",3,181,0.0017054080963134766
HC,6,10,"[3, 1, 7, 4, 8, 0, 2, 9, 7, 5]",2,271,0.0025255680084228516
HC,7,10,"[2, 0, 6, 3, 1, 8, 1, 5, 9, 0]",2,361,0.0034339427947998047
HC,8,10,"[3, 5, 0, 2, 9, 6, 1, 7, 4, 8]",1,541,0.005034208297729492
HC,9,10,"[7, 3, 1, 4, 9, 0, 2, 5, 8, 6]",1,631,0.0059130191802978516
HC,10,10,"[2, 0, 6, 1, 9, 0, 3, 7, 4, 1]",2,451,0.0043048858642578125
HC,11,10,"[6, 4, 1, 5, 0, 9, 3, 2, 8, 7]",2,541,0.00487971305847168
HC,12,10,"[7, 1, 8, 5, 2, 6, 0, 9, 7, 4]",3,271,0.002400636672973633
HC,13,10,"[4, 4, 9, 0, 6, 3, 7, 2, 1, 8]",2,451,0.003971576690673828
HC,14,10,"[1, 9, 6, 3, 0, 2, 8, 5, 7, 4]",0,451,0.003999233245849609
HC,15,10,"[4, 0, 8, 0, 7, 3, 6, 9, 1, 5]",1,541,0.0049304962158203125
HC,16,10,"[5, 7, 1, 4, 6, 3, 9, 0, 8, 4]",3,361,0.0033049583435058594
HC,17,10,"[8, 6, 3, 9, 0, 5, 8, 4, 1, 7]",1,541,0.005014181137084961
HC,18,10,"[4, 1, 7, 9, 5, 3, 8, 0, 2, 6]",1,631,0.005798816680908203
HC,19,10,"[5, 8, 0, 7, 3, 6, 2, 9, 4, 9]",2,541,0.00512385368347168
HC,20,10,"[0, 4, 1, 5, 9, 2, 0, 8, 6, 1]",2,271,0.0025517940521240234
HC,21,10,"[9, 6, 4, 0, 7, 3, 1, 8, 2, 8]",2,451,0.00411224365234375
HC,22,10,"[5, 3, 0, 9, 7, 2, 0, 8, 1, 4]",1,451,0.004140615463256836
HC,23,10,"[4, 1, 7, 9, 3, 0, 0, 8, 5, 2]",1,451,0.004228115081787109
HC,24,10,"[6, 9, 2, 0, 8, 3, 5, 1, 1, 4]",2,451,0.00425410270690918
HC,25,10,"[6, 8, 1, 5, 7, 0, 4, 0, 4, 9]",2,361,0.003361225128173828
HC,26,10,"[3, 3, 9, 4, 8, 0, 2, 7, 1, 6]",1,541,0.005051136016845703
HC,27,10,"[7, 4, 6, 3, 9, 1, 4, 8, 5, 0]",3,361,0.003303050994873047
HC,28,10,"[1, 5, 8, 4, 7, 0, 2, 9, 6, 3]",1,541,0.005119800567626953
HC,29,10,"[8, 3, 0, 9, 9, 4, 1, 7, 2, 6]",1,451,0.00418853759765625
SA,0,10,"[6, 4, 0, 4, 0, 7, 5, 2, 8, 1]",2,89,0.001466989517211914
SA,1,10,"[4, 7, 1, 6, 2, 5, 9, 0, 3, 8]",2,89,0.0016362667083740234
SA,2,10,"[7, 0, 2, 6, 2, 0, 8, 4, 9, 1]",2,89,0.0015156269073486328
SA,3,10,"[6, 9, 7, 4, 1, 5, 8, 6, 1, 3]",4,89,0.0015835762023925781
SA,4,10,"[8, 0, 5, 1, 1, 9, 7, 3, 8, 2]",2,89,0.001476287841796875
SA,5,10,"[8, 2, 4, 6, 0, 9, 0, 5, 7, 1]",2,89,0.0014963150024414062
SA,6,10,"[8, 1, 7, 9, 5, 2, 4, 0, 3, 8]",3,89,0.0015430450439453125
SA,7,10,"[2, 0, 9, 0, 4, 8, 1, 8, 2, 7]",3,89,0.0014934539794921875
SA,8,10,"[7, 0, 5, 1, 6, 9, 3, 8, 4, 2]",1,89,0.001506805419921875
SA,9,10,"[1, 7, 5, 2, 0, 9, 4, 2, 8, 3]",1,89,0.0013682842254638672
SA,10,10,"[6, 0, 0, 5, 9, 2, 3, 7, 7, 4]",5,89,0.0013453960418701172
SA,11,10,"[9, 0, 7, 0, 4, 6, 8, 5, 2, 1]",3,89,0.0013117790222167969
SA,12,10,"[4, 7, 7, 3, 1, 6, 9, 5, 2, 8]",1,89,0.001308441162109375
SA,13,10,"[7, 5, 0, 2, 9, 6, 2, 7, 1, 3]",2,89,0.0013613700866699219
SA,14,10,"[5, 0, 3, 0, 8, 6, 2, 9, 1, 4]",3,89,0.001415252685546875
SA,15,10,"[7, 5, 8, 2, 1, 8, 6, 9, 6, 0]",3,89,0.001323699951171875
SA,16,10,"[0, 2, 5, 7, 9, 7, 3, 1, 6, 8]",1,89,0.0013625621795654297
SA,17,10,"[8, 3, 7, 9, 2, 0, 5, 0, 2, 9]",3,89,0.0013225078582763672
SA,18,10,"[2, 5, 7, 4, 0, 2, 9, 6, 3, 9]",3,89,0.001399993896484375
